number,company_id
2 22312XXX,1
2 22313XXX,1
2 22314XXX,1
2 22315XXX,1
2 22316XXX,1
2 22317XXX,1
2 22318XXX,1
2 22319XXX,1
2 22320XXX,1
2 22321XXX,1
2 22322XXX,1
2 22323XXX,1
2 22324XXX,1
2 22325XXX,1
2 22326XXX,1
2 22327XXX,1
2 22328XXX,1
2 22329XXX,1
2 22330XXX,1
2 22331XXX,1
2 22332XXX,1
2 22333XXX,1
2 22334XXX,1
2 22335XXX,1
2 22336XXX,1
2 22337XXX,1
2 22338XXX,1
2 22339XXX,1
2 22340XXX,1
2 22341XXX,1
2 22342XXX,1
2 22343XXX,1
2 22344XXX,1
2 22345XXX,1
2 22346XXX,1
2 22347XXX,1
2 22348XXX,1
2 22349XXX,1
2 22350XXX,1
2 22351XXX,1
2 22352XXX,1
2 22353XXX,1
2 22354XXX,1
2 22355XXX,1
2 22356XXX,1
2 22357XXX,1
2 22358XXX,1
2 22359XXX,1
2 22360XXX,1
2 22361XXX,1
2 22362XXX,1
2 22363XXX,1
2 22364XXX,1
2 22365XXX,1
2 22366XXX,1
2 22367XXX,1
2 22368XXX,1
2 22369XXX,1
2 22370XXX,1
2 22371XXX,1
2 22372XXX,1
2 22373XXX,1
2 22374XXX,1
2 22375XXX,1
2 22376XXX,1
2 22377XXX,1
2 22378XXX,1
2 22379XXX,1
2 22380XXX,1
2 22381XXX,1
2 22382XXX,1
2 22383XXX,1
2 22384XXX,1
2 22385XXX,1
2 22386XXX,1
2 22387XXX,1
2 22388XXX,1
2 22389XXX,1
2 22390XXX,1
2 22391XXX,1
2 22392XXX,1
2 22393XXX,1
2 22394XXX,1
2 22395XXX,1
2 22396XXX,1
2 22397XXX,1
2 22398XXX,1
2 22399XXX,1
2 22400XXX,2
2 22401XXX,2
2 22402XXX,2
2 22403XXX,2
2 22404XXX,2
2 22405XXX,2
2 22406XXX,2
2 22407XXX,2
2 22408XXX,2
2 22409XXX,2
2 22410XXX,2
2 22411XXX,2
2 22412XXX,2
2 22413XXX,2
2 22414XXX,2
2 22415XXX,2
